@relation 'mxmh_survey_results1-weka.filters.unsupervised.attribute.NumericCleaner-min50.0-min-default50.0-max220.0-max-default220.0-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-R10-decimals-1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1 -num-slots 1'

@attribute Age numeric
@attribute 'While working' {Yes,No}
@attribute 'Fav genre' {Latin,Rock,'Video game music',Jazz,R&B,'K pop',Country,EDM,'Hip hop',Pop,Rap,Classical,Metal,Folk,Lofi,Gospel}
@attribute Exploratory {Yes,No}
@attribute Anxiety numeric
@attribute Depression numeric
@attribute 'Music effects' {'No effect',Improve,Worsen}

@data
18,Yes,Latin,Yes,3,0,'No effect'
63,Yes,Rock,Yes,7,2,'No effect'
18,No,'Video game music',No,7,7,'No effect'
61,Yes,Jazz,Yes,9,7,Improve
18,Yes,R&B,Yes,7,2,Improve
18,Yes,Jazz,Yes,8,8,Improve
18,Yes,'Video game music',Yes,4,8,Improve
21,Yes,'K pop',Yes,5,3,Improve
19,Yes,Rock,No,2,0,Improve
18,Yes,R&B,Yes,2,2,Improve
18,Yes,Country,Yes,7,7,'No effect'
19,Yes,EDM,Yes,1,0,Improve
25.206803,Yes,'Hip hop',Yes,9,3,Improve
19,Yes,Country,Yes,2,1,Improve
18,Yes,Jazz,Yes,6,4,Improve
17,No,Pop,Yes,7,5,Worsen
16,Yes,'Hip hop',Yes,8,8,Improve
16,Yes,'Hip hop',Yes,5,7,Improve
17,Yes,Rap,Yes,7,5,Improve
15,No,'Hip hop',No,7,3,Improve
15,Yes,'Hip hop',Yes,6,9,Improve
17,Yes,Rap,Yes,10,10,Improve
19,Yes,R&B,Yes,6,7,Improve
18,Yes,Pop,No,3,3,'No effect'
16,Yes,Rock,Yes,10,6,Improve
18,No,Pop,Yes,7,4,Improve
14,Yes,Rock,Yes,8,6,Improve
18,Yes,Pop,No,3,2,Improve
17,Yes,Pop,Yes,6,6,Improve
17,Yes,Pop,Yes,8,2,Improve
20,Yes,Rock,Yes,7,7,Improve
19,Yes,Classical,No,4,4,'No effect'
19,Yes,Metal,Yes,9,8,Improve
17,No,Rock,Yes,5,6,Improve
16,Yes,Classical,No,0,0,'No effect'
18,Yes,Pop,Yes,3,2,Improve
21,Yes,Pop,No,6,8,Improve
17,Yes,Pop,Yes,2,0,'No effect'
26,No,Rock,No,9,8,'No effect'
20,Yes,EDM,Yes,7,2,Improve
23,Yes,'Video game music',Yes,4,2,Improve
18,Yes,Rock,Yes,7,6,Improve
37,No,'Video game music',Yes,3,2,'No effect'
17,Yes,Classical,Yes,6,6,Improve
18,Yes,Metal,Yes,1,0,'No effect'
17,Yes,Folk,No,7,3,Improve
